"country","date","tested","confirmed","confirmed.tested.ratio","tested.population.ratio","confirmed.population.ratio"
"Afghanistan","17 Dec 2020",154767,49621,32.1,0.4,0.13
"Albania","18 Feb 2021",428654,96838,22.6,15,3.4
"Algeria","2 Nov 2020",230553,58574,25.4,0.53,0.13
"Andorra","21 Jun 2021",195713,13864,7.1,252,17.9
"Angola","12 Mar 2021",399228,20981,5.3,1.3,0.067
"Antigua and Barbuda","6 Mar 2021",15268,832,5.4,15.9,0.86
"Argentina","26 Jun 2021",16367985,4393142,26.8,36.1,9.7
"Armenia","28 Jun 2021",1177814,224851,19.1,39.9,7.6
"Australia","27 Jun 2021",20303632,30499,0.15,80.9,0.12
"Austria","27 Jun 2021",53713546,646243,1.2,603,7.3
"Azerbaijan","27 Jun 2021",3728712,335836,9,37.7,3.4
"Bahamas","22 Jun 2021",104800,12407,11.8,27.2,3.2
"Bahrain","26 Jun 2021",4990387,264995,5.3,318,16.9
"Bangladesh","20 Jun 2021",6327734,851668,13.5,3.8,0.52
"Barbados","27 Jun 2021",184478,4077,2.2,64.3,1.4
"Belarus","28 Jun 2021",6764743,415780,6.1,71.3,4.4
"Belgium","25 Jun 2021",15022137,1082476,7.2,130,9.4
"Belize","25 Jun 2021",150981,13137,8.7,37,3.2
"Benin","4 May 2021",595112,7884,1.3,5.1,0.067
"Bhutan","27 May 2021",798573,1491,0.19,108,0.2
"Bolivia","25 Jun 2021",1782838,431360,24.2,15.6,3.8
"Bosnia and Herzegovina","28 Jun 2021",1027418,204991,20,30,6
"Botswana","22 Jun 2021",1269428,65808,5.2,56.3,2.9
"Brazil","19 Feb 2021",23561497,10081676,42.8,11.2,4.8
"Brunei","26 Jun 2021",139503,259,0.19,30.4,0.056
"Bulgaria","27 Jun 2021",3142206,421531,13.4,45.2,6.1
"Burkina Faso","4 Mar 2021",158777,12123,7.6,0.76,0.058
"Burundi","5 Jan 2021",90019,884,0.98,0.76,0.0074
"Cambodia","27 Jun 2021",1339616,47649,3.6,8.2,0.29
"Cameroon","18 Feb 2021",942685,32681,3.5,3.6,0.12
"Canada","27 Jun 2021",36533052,1413203,3.9,96.4,3.7
"Chad","2 Mar 2021",99027,4020,4.1,0.72,0.029
"Chile","27 Jun 2021",16839796,1547103,9.2,88.3,8.1
"China[c]","31 Jul 2020",1.6e+08,87655,0.055,11.1,0.0061
"Colombia","27 Jun 2021",19619249,41587146,212,40.7,8.6
"Costa Rica","24 Jun 2021",1432206,359266,25.1,28.6,7.2
"Croatia","27 Jun 2021",2135858,359652,16.8,52.4,8.8
"Cuba","27 Jun 2021",5047554,184943,3.7,44.6,1.6
"Cyprus[d]","31 May 2021",6752614,72457,1.1,782,8.4
"Czechia","28 Jun 2021",7935695,1666947,21,74.2,15.6
"Denmark[e]","27 Jun 2021",35795599,292943,0.82,615,5
"Djibouti","26 Jun 2021",171761,11600,6.8,18.6,1.3
"Dominica","22 Jun 2021",183858,192,1,25.7,0.27
"Dominican Republic","21 Jun 2021",1671718,318368,19,15.4,2.9
"DR Congo","28 Feb 2021",124838,25961,20.8,0.14,0.029
"Ecuador","25 Jun 2021",1521099,452234,29.7,8.9,2.6
"Egypt","18 Jun 2021",2956951,276190,9.3,3,0.28
"El Salvador","23 Jun 2021",1044841,77484,7.4,16.1,1.2
"Equatorial Guinea","25 Jun 2021",157464,8723,5.5,12,0.67
"Estonia","28 Jun 2021",1519414,130983,8.6,114,9.9
"Eswatini","15 Jun 2021",229833,18754,8.2,20.2,1.7
"Ethiopia","16 Jun 2021",2802595,24601,9.8,2.4,0.24
"Faroe Islands","28 Jun 2021",306942,772,0.25,589,1.5
"Fiji","13 May 2021",70732,165,0.23,7.9,0.018
"Finland","28 Jun 2021",5378623,95168,1.8,97,1.7
"France[f][g]","27 Jun 2021",92527219,5770021,6.2,142,8.8
"Gabon","17 Jun 2021",850090,24832,2.9,2.7,0.08
"Gambia","15 Feb 2021",43217,4469,10.3,2,0.21
"Georgia[h]","27 Jun 2021",3007523,363522,12.1,80.9,9.8
"Germany","23 Jun 2021",63813168,3723798,5.8,76.1,4.4
"Ghana","14 Jun 2021",1230125,94913,7.7,4,0.31
"Greece","27 Jun 2021",10528950,420905,4,97.8,3.9
"Greenland","28 Jun 2021",29234,50,0.17,52.1,0.089
"Grenada","11 May 2021",28684,161,0.56,25.7,0.14
"Guatemala","19 Jun 2021",1534801,280507,18.3,8.9,1.6
"Guinea","17 Jun 2021",468886,23450,5,3.6,0.18
"Guinea-Bissau","19 Jun 2021",71499,3825,5.3,3.8,0.2
"Guyana","25 Jun 2021",183048,19674,10.7,23.3,2.5
"Haiti","5 Jun 2021",77483,16001,20.7,0.68,0.14
"Honduras","25 Jun 2021",775440,256818,33.1,8.1,2.7
"Hungary","28 Jun 2021",6116542,808042,13.2,63.3,8.4
"Iceland","24 Jun 2021",749087,6637,0.89,206,1.8
"India","28 Jun 2021",406371279,30279331,7.5,29.5,2.2
"Indonesia","28 Jun 2021",13122594,2135998,16.3,4.9,0.79
"Iran","27 Jun 2021",23308926,3167741,13.6,28,3.8
"Iraq","27 Jun 2021",11577950,1325700,11.5,28.8,3.3
"Ireland","14 May 2021",4729538,254870,5.4,96.1,5.2
"Israel","26 Jun 2021",14891479,840823,5.6,162,9.2
"Italy","28 Jun 2021",71207555,4258456,6,118,7.1
"Ivory Coast","3 Mar 2021",429177,33285,7.8,1.6,0.13
"Jamaica","25 Jun 2021",433091,49964,11.5,15.9,1.8
"Japan","1 Mar 2021",8487288,432773,5.1,6.7,0.34
"Jordan","6 Jun 2021",7407053,739847,10,69.5,6.9
"Kazakhstan","28 May 2021",11575012,385144,3.3,62.1,2.1
"Kenya","5 Mar 2021",1322806,107729,8.1,2.8,0.23
"Kosovo","31 May 2021",611357,107410,17.6,33.8,5.9
"Kuwait","28 Jun 2021",2947335,353133,12,687,8.2
"Kyrgyzstan","10 Feb 2021",695415,85253,12.3,10.7,1.3
"Laos","1 Mar 2021",114030,45,0.039,1.6,0.00063
"Latvia","27 Jun 2021",2830897,137210,4.8,147,7.1
"Lebanon","14 Jun 2021",4599186,542649,11.8,67.4,8
"Lesotho","21 Jun 2021",107111,11128,10.4,5.3,0.55
"Liberia","20 Jun 2021",114920,3109,2.7,2.3,0.061
"Libya","23 Jun 2021",1090965,191660,17.6,15.9,2.8
"Lithuania","26 Jun 2021",3870496,278674,7.2,139,10
"Luxembourg[i]","23 Jun 2021",3051416,70586,2.3,487,11.3
"Madagascar","19 Feb 2021",119608,19831,16.6,0.46,0.076
"Malawi","20 Jun 2021",257554,34868,13.5,1.3,0.18
"Malaysia","26 Jun 2021",14277789,728462,5.1,43.6,2.2
"Maldives","27 Jun 2021",1016066,73327,7.2,259,18.7
"Mali","1 Mar 2021",200772,8390,4.2,0.99,0.041
"Malta","28 Jun 2021",981005,30612,3.1,199,6.2
"Mauritania","16 Apr 2021",268093,18103,6.8,6.1,0.41
"Mauritius","22 Nov 2020",289552,494,0.17,22.9,0.039
"Mexico","20 Jun 2021",6897652,2477283,35.9,5.4,1.9
"Moldova[j]","27 Jun 2021",1247648,256559,20.6,47.3,9.7
"Mongolia","28 Jun 2021",3227599,111505,3.5,96.2,3.3
"Montenegro","10 May 2021",394388,98449,25,62.5,15.6
"Morocco","28 Jun 2021",6793118,529895,7.8,18.4,1.4
"Mozambique","16 Jun 2021",571002,71764,12.6,1.8,0.23
"Myanmar","20 Jun 2021",2674702,148022,5.5,4.9,0.27
"Namibia","25 Jun 2021",513983,83698,16.3,18.7,3
"Nepal","28 Jun 2021",3329687,635188,19.1,11.9,2.3
"Netherlands","22 Jun 2021",14246275,1680228,11.8,81.8,9.6
"New Caledonia","24 Jun 2021",34998,129,0.37,12.9,0.048
"New Zealand","28 Jun 2021",2271525,2382,0.1,45.6,0.048
"Niger","22 Feb 2021",79321,4740,6,0.35,0.021
"Nigeria","28 Feb 2021",1544008,155657,10.1,0.75,0.076
"North Korea","25 Nov 2020",16914,0,0,0.066,0
"North Macedonia","27 Jun 2021",872894,155673,17.8,42,7.5
"Northern Cyprus[k]","27 Jun 2021",1443303,7996,0.55,443,2.5
"Norway","28 Jun 2021",6202360,130619,2.1,116,2.4
"Oman","28 Oct 2020",509959,114434,22.4,11,2.5
"Pakistan","5 Mar 2021",9173593,588728,6.4,4.2,0.27
"Palestine","28 Jun 2021",1896445,342692,18.1,37.5,6.8
"Panama","27 Jun 2021",2962169,400666,13.5,70.9,9.6
"Papua New Guinea","17 Feb 2021",47490,961,2,0.53,0.011
"Paraguay","23 Jun 2021",1486121,411615,27.7,20.8,5.8
"Peru","27 Jun 2021",14042806,2046057,14.6,42.8,6.2
"Philippines","26 Jun 2021",14745954,1391911,9.4,14.6,1.4
"Poland","28 Jun 2021",17301502,2879689,16.6,45.1,7.5
"Portugal","25 Jun 2021",12926064,871483,6.7,126,8.5
"Qatar","27 Jun 2021",2150184,221692,10.3,74.6,7.7
"Romania","29 Jan 2021",5405393,724250,13.4,27.9,3.7
"Russia","28 Jun 2021",148983476,5472941,3.7,102,3.7
"Rwanda","26 Jun 2021",1606566,35886,2.2,12.4,0.28
"Saint Kitts and Nevis","24 Jun 2021",20537,425,2.1,39.2,0.81
"Saint Lucia","26 Jun 2021",52991,5269,9.9,29.1,2.9
"Saint Vincent","24 Jun 2021",54204,2216,4.1,49.2,2
"San Marino","28 Jun 2021",68523,5091,7.4,200,14.9
"Saudi Arabia","27 Jun 2021",21601544,483221,2.2,62,1.4
"Senegal","14 Jun 2021",574404,42023,7.3,3.6,0.27
"Serbia","28 Jun 2021",4397216,716385,16.3,63.1,10.3
"Singapore","21 Jun 2021",13287834,62448,0.47,233,1.1
"Slovakia","28 Jun 2021",2947897,391566,13.3,54,7.2
"Slovenia","26 Jun 2021",1343159,257240,19.2,64.1,12.3
"South Africa","24 May 2021",11378282,1637848,14.4,19.2,2.8
"South Korea","1 Mar 2021",6592010,90029,1.4,12.7,0.17
"South Sudan","26 May 2021",164472,10688,6.5,1.3,0.084
"Spain","17 Jun 2021",52651131,3777539,7.2,113,8.1
"Sri Lanka","30 Mar 2021",2384745,93128,3.9,10.9,0.43
"Sudan","7 Jan 2021",158804,23316,14.7,0.36,0.053
"Sweden","24 May 2021",9996795,1074751,10.8,96.8,10.4
"Switzerland[l]","28 Jun 2021",8273152,702746,8.5,96.1,8.2
"Taiwan[m]","27 Jun 2021",2182211,14634,0.67,9.2,0.062
"Tanzania","18 Nov 2020",3880,509,13.1,0.0065,0.00085
"Thailand","4 Mar 2021",1579597,26162,1.7,2.3,0.038
"Togo","21 Jun 2021",353768,13731,3.8,4.1,0.15
"Trinidad and Tobago","26 Jun 2021",225790,32069,14.2,16.6,2.4
"Tunisia","25 Jun 2021",1671661,403493,24.1,14.1,3.4
"Turkey","28 Jun 2021",60328966,5414310,9,72.6,6.5
"Uganda","11 Feb 2021",852444,39979,4.7,1.9,0.087
"Ukraine","26 Jun 2021",10780868,2233546,20.7,25.6,5.3
"United Arab Emirates","27 Jun 2021",56919772,626936,1.1,593,6.5
"United Kingdom","25 Jun 2021",207164164,4699868,2.3,307,7
"United States","27 Jun 2021",482526393,33624776,7,146,10.2
"Uruguay","27 Jun 2021",2766700,365866,13.2,79.7,10.5
"Uzbekistan","7 Sep 2020",2630000,43975,1.7,7.7,0.13
"Venezuela","30 Mar 2021",3179074,159149,5,11,0.55
"Vietnam","20 Jun 2021",8434266,13211,0.16,8.5,0.013
"Zambia","25 Jun 2021",1825500,143215,7.8,10.5,0.83
"Zimbabwe","21 Jun 2021",617919,42195,6.8,4.2,0.28
